Females;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;AllCancers;C81-C96;‘81;‘82-85, 96;‘88, 90;;Non-melanoma skin
0-4;9.29;0;0;0;0.46;0.02;0.02;0.05;0;0.05;8.67;5.12;;15.11;5.82;0.05;0.65;0;;0.02
5-9;4.99;0;0;0;0.06;0;0.03;0.25;0.03;0.14;4.48;3.53;;9.39;4.4;0.31;0.56;0;;0
10-14;4.64;0;0;0.06;0.09;0.03;0;0.46;0;0.71;3.2;2.47;;8.35;3.71;0.9;0.34;0;;0.09
15-19;7.97;0;0.06;0.22;0.08;0.06;0.11;1.27;0.03;1.36;4.53;1.94;;13.58;5.61;2.43;1.16;0.08;;0.25
20-24;16.06;0.02;0.22;0.31;0.11;0.15;0.73;2.5;0.22;2.88;8.25;1.26;;22.57;6.51;3.9;1.31;0.04;;0.67
25-29;37.58;0.02;1.04;0.86;0.16;0.32;4.6;3.87;0.24;5.39;19.3;1.69;;45.62;8.04;4.26;1.99;0.1;;1.78
30-34;77.03;0.02;2.53;1.88;0.34;1.03;16.27;5.35;0.32;7.97;37.69;1.57;;84.27;7.24;3.42;2.18;0.07;;3.63
35-39;130.43;0.13;3.79;3.13;0.47;2.27;35.75;9.62;0.66;9.58;58.32;2.55;;138.25;7.82;2.53;2.44;0.3;;6.71
40-44;209.58;0.47;6.71;6.05;0.82;4.38;68.31;15.51;1.17;12.42;80.82;3.33;;218.98;9.4;1.95;3.56;0.56;;12.92
45-49;309.29;0.89;10.21;11.28;1.73;7.34;101.28;24.69;1.71;15.49;111.98;4.93;;320.7;11.41;1.61;3.34;1.53;;22.69
50-54;438.17;1.37;17.17;21.42;2.78;13.89;125.98;29.3;3.2;21.23;164.51;6.48;;454.57;16.4;1.93;5.08;2.91;;37.32
55-59;576.36;2.42;25.96;35.05;4.68;19.78;150.87;32.14;4.93;22.04;217.18;9.5;;598.72;22.36;1.5;7.39;3.97;;61.31
60-64;767.63;4.27;40.23;55.68;6.83;31.15;183.84;36.54;7.92;22.69;280.39;13.1;;799.16;31.53;1.56;10.64;6.23;;98.09
65-69;948.37;4.9;55.02;78.04;9.49;37.84;202.24;40.13;11.78;21.5;339.28;19.09;;990.56;42.19;1.83;13.61;7.66;;148.15
70-74;1044.38;6.67;82.86;102.66;12.6;44.25;183.83;37.28;15.32;15.02;341.06;21.56;;1091.02;46.64;2.04;14.59;8.45;;202.83
75-79;1147.42;10.15;96.18;116.08;16.76;53.52;172.36;33.22;19.19;11.26;359.67;22.45;;1192.49;45.07;1.7;14.17;6.75;;259.03
80-84;1070.02;12.39;93.89;107.05;17.21;56.18;134.78;23.58;19.24;8.34;319.8;20.93;;1108.4;38.38;1.49;12.15;3.81;;277.56
85+;967.03;11.87;82.15;98.27;16.43;49.53;121.46;17.22;18.4;6.92;284.41;14.39;;991.87;24.84;0.94;7.7;1.81;;260.37
