Males;;;;;;;;;;;;;;;;;;;;
Age?;All Solid;Oesophagus;Stomach;Colon;Liver;Lung;Breast;Ovary;Bladder;Thyroid;Other;Leukaemia (C91-C95);;AllCancers;C81-C96;‘81;‘82-85, 96;‘88, 90;;Non-melanoma skin
0-4;9.22;0;0.02;0;0.41;0.07;0;0;0.07;0;8.63;6.45;;16.9;7.68;0.25;0.96;0.02;;0.02
5-9;4.65;0;0;0.03;0.11;0;0;0;0.03;0.03;4.42;4.77;;11.29;6.64;0.64;1.2;0.03;;0.03
10-14;5.21;0;0;0.09;0.12;0;0;0;0;0.26;4.68;2.82;;10.33;5.12;1.03;1.24;0.03;;0.06
15-19;8.58;0.03;0.08;0;0.08;0.19;0;0;0.11;0.56;7.16;2.7;;15.33;6.75;2.73;1.32;0;;0.37
20-24;11.3;0.05;0.28;0.44;0.12;0.26;0;0;0.35;0.47;8.58;1.37;;17.1;5.8;2.84;1.54;0.05;;0.75
25-29;17.25;0;0.7;0.73;0.16;0.69;0;0;0.73;0.99;12.42;1.8;;23.89;6.64;3.13;1.63;0.08;;0.83
30-34;30.21;0.07;1.93;1.27;0.32;1.61;0;0;1.04;1.34;20.23;1.94;;37.43;7.22;2.83;2.36;0.09;;2.4
35-39;55.43;0.57;5.09;3.3;0.92;4.82;0;0;1.99;1.55;32.12;2.84;;64.31;8.88;2.63;3.13;0.28;;5.07
40-44;99.92;2.11;9.85;5.34;1.59;13.2;0;0;3.64;2.44;52.9;3.79;;110.77;10.85;2.55;3.81;0.7;;8.85
45-49;200.74;5.53;19.71;10.53;4.04;37.2;0;0;8.18;3.32;94.61;5.03;;214.97;14.23;2.46;5.53;1.21;;17.62
50-54;404.05;12.35;38.53;19.6;7.03;90.9;0;0;17.71;3.67;181.36;9.02;;426.7;22.65;2.8;7.86;2.97;;32.9
55-59;732.76;23.7;69.18;35.1;11.65;175.01;0;0;31.4;4.75;324.1;14.19;;765.05;32.29;2.81;11.07;4.22;;57.87
60-64;1181.3;35.58;106.36;64.7;18.5;271.65;0;0;51.87;6.33;526.34;20.58;;1226.39;45.09;3.06;14.64;6.81;;99.97
65-69;1654.13;41.99;149.11;104.94;22.9;336.53;0;0;81.29;5.99;753.22;30.52;;1712.78;58.65;2.43;17.59;8.11;;158.16
70-74;1975.65;42.72;183.84;144.99;28.9;376.78;0;0;106.2;4.62;857.57;34.67;;2044;68.35;3.62;21.01;9.05;;230.03
75-79;2174.87;39.85;208.31;168.04;31.12;368.13;0;0;119.38;3.82;939.73;38.91;;2246.68;71.81;2.63;22.64;7.63;;296.49
80-84;2024.23;34.9;200.37;159.66;28.8;304.65;0;0;120.89;3.46;826.14;32.96;;2081.84;57.61;2.91;16.34;5.4;;345.36
85+;1983.18;33.4;182.56;165.05;27.89;240.28;0;0;126.79;2.59;757.79;28.53;;2037.98;54.8;1.62;18.16;6.49;;446.83
